Arabic,English,Arabic Pl,English Pl,Example
خمول,drowsiness,,,في الصباح قال ب*،
طبلة,drum,طُبَل,drums,
سكران,drunk,سكارى,drunks,
مخمور,drunk,,,
سَكرة,drunkennes,,,
دروزي,Druze,الدروز,The Druze,
ناشف,dry,,,خبزثوب
دبيّ,Dubai,,,
استحقاقات,Dues,,,
مستحقات,dues,,,دفع
روث,dung,أرواث,droppings,
متين,durable,,,فخ
ديمومة,duration,,,
تراب,dust,,,
غُبار,dust,,,
قَزَم,dwarf,أقزام,dwarves,
صِبغة,dye,,,
سلالة,dynasty,,,
عقاب,eagle,عقبان,eagles,
أُذُن,ear,آذان,ears,
مبكر,early,,,
حلق,earring,حِلقان,earrings,
قُرط,earrings,,,اقترحت فلة أن تبيع قرطها الذهبي
بُرمة,earthenware pot,بُرِم، بِرام,earthenware pots,
أهون,easier,,,يتصوره * مما هو
صدى,echo,أصداء,echoes,
استسقاء,edema,,,
جرّيث,eel,,,
الكفاءة,efficiency,,,
دُمية,effigy,,,أختتم المتظاهرون ثورتهم بإحراق دمية الرئيس
مسعى,effort,مساع,efforts,
بويضة,egg,,,
باذنجان,eggplant,,,
كوع,elbow,أكواع,elbows,
مِرفق,elbow,مرافق,elbows,
قابس,electrical plug,,,
فيل,elephant,فيلة,elephants,
أحقية,eligibility,,,
دَردار,elm,,,
فصاحة,eloquence,,,
بليغ,eloquent,,,
ضامر,emaciated,,,امراءة عجفاء ضامرة
الانعتاق,emancipation,,,ضرب للحرية و* العربية
جَمر,embers,,,
الاختلاس,embezzlement,,,
تطريز,embroidery,,,
توظيف,employment,,,
موسوعة,encyclopedia,موسوعات,encyclopedias,
عَدوّ,enemy,أعداء,enemies,
انجلترا,England,,,
ممتع,enjoyable,,,
إثراء,enriching,,,كل ما يقدمه معهد سميثسونيان ل* تراثنا الثقافي
تخصيب,enrichment,,,
الوفاق,entente,,,
مسلٍّ,entertaining,,,
الترفيه,entertainment,,,
التسلية,entertainment,,,
بطانة,entourage,بطائن,entourages,
حاشية,entourage,,,لضمان أمن مبارك وحاشيته
حَسود,envious,حُسُد,envious people,
مبعوث,envoy,مبعوثون,envoys,
الحسد,envy,,,
ملحمي,epic,,,
صَرَع,epilepsy,,,
المساواة,equality,,,
معادلة,equation,معادلات,equations,
الاعتدال,equinox,,,
إنصاف,equity,,,
حِقبة,era,حقبات,eras,
ممحاة,eraser,,,
مرئ,esophagus,أمرائة | مروء,esophaguses,
تقدير,estimate,تقديرات,estimates,
التخثر,eutrophication,,,
التهجير,evacuation,,,
الجميع,everybody,,,
التطور,evolution,,,
مبالغ,exaggerated,,,
استنطاق,examination,,,
التنقيب,excavation,,,
الحفر,excavation,,,
رائع,excellent,,,
مقتطف,excerpt,مقتطفات,excerpts,
الإفراط,excessiveness,,,
مثار,excited,,,
إثارة,excitement,,,
مثير,exciting,,,
عادم,exhaust,عوادم,exhausts,
منفى,exile,,,
الوجودية,existentialism,,,
إنفاق,expenditure(s),,,
المصروفات,expenses,,,النفاقات
تجربة,experiment,,,
انفجار,explosion,,,
تفجير,explosion,,,
مفرقع,explosive,مفرقعات,explosives,
إصدار,exporting,,,
صادرات,exports,,,
موسّع,extensive,,,
منقرِض,extinct,,,
انقراض,extinction,,,
الإسراف,extravegance,,,
القيظ,extreme heat,,,الخيام التي لا تحميهم من القيظ والبرد إلا القليل
متطرف,extremist,,,
رِمش,eyelash,رموش,eyelashes,
جَفن,eyelid,جفون,eyelids,
قماش,fabric,أقمشة,fabrics,
ملفّق,fabricated,,,
واجهة,façade,,,
مرفق,facility,مرافق,facilities,
منشأة,facility,منشآت,facilities,
حقيقة,fact,حقائق,facts,
فصيلة,faction,فصائل,factions,
إخفاق,failure,إخفاقات,failures,
منصف,fair,,,
المعتقَد,faith,,,
باز,falcon,بيزان,falcons,
مألوف,familar,,,
قحط,famine,,,
مروحة,fan,مراوح,fans,
متعصّب,fanatic,,,
جمهور,fans,,,
وداع,farewell,,,
فلاح,farmer,,,
مُزارع,farmer,,,
ضرطة,fart,,,
الشحم,fat,,,
سمين,fat,,,
مميت,fatal,,,
القدر,fate,الأقدار,The Fates,
المنايا,fate,,,نكُف المنايا بكف المنون.
مصيري,fateful,,,
حَماه,father-in-law,أحماء,fathers-in-law,
إرهاق,fatigue,,,
إعياء,fatigue,,,
صنبور,faucet,صنابير,faucets,
التفضيل,favoritism,,,
المُحاباة,favoritism,,,
خيفة,fear,,,
شُباط,February,,,
بِراز,feces,,,
خراء,feces,,,
العلف,feed,,,الدواجن
اللباد,felt,,,كاب البيسبول مصنوع من *
أنثى,female,إناث,females,
أنوثة,femininity,,,
سياج,fence,,,
خِنشار,fern,,,
الخصوبة,fertility,,,
الإخصاب,fertilization,,,
الخصوبة,fertilization,,,
سماد,fertilizer,أسمدة,fertilizers,
جنين,fetus,أَجِنَّة,fetuses,إجهاض
حُمّى,fever,حمّيات,fevers,
خطيب,fiancee,,,
الألياف,fiber,,,الأطعمة الغنية ب
حقل,field,حقول,fields,
ملعب,field,,,
بضراوة,fiercely,,,تحارب عمالة الأطفال بضراوة
عراك,fight,,,
ضِمنيًا,figuratively,,,
حَشو,filling (teeth),,,
رجس,filth,,,تطهير ربوع اليمن من *هم
قذارة,filth,,,
زعنفة,fin,زعانف,fins,
غرامة,fine,غرامات,fines,
إصبع,finger,أصابع,fingers,
ظفر,fingernail,أظفار,fingernails,
حريق,fire,حرائق,fires,
نار,fire,نيران,fires,
مدفأة,fireplace,,,
حَطَب,firewood,,,
حازم,firm,,,
حرشف,fish scale,حراشف,fish scales,
حَسَك,fishbones,,,
صنّارة,fishing rod,صنانير,fishing rods,
الرشاقة,fitness,,,
شعلة,flame,,,
لهب,flame,,,
بَشَروش,flamingo,,,
فَطَس,flatness,,,في أنفها *.
مداهنة,flattery,,,
الانتفاح,flatulence,,,طرق للتخلص من الانتفاخ
طعم,flavor,طُعوم,flavors,
نكهة,flavor,نكهات,flavors,
برغوث,flea,براغيث,fleas,
أسطول,fleet,,,
واهٍ,flimsy,,,سبب واه ٍغير مقنع
مغازلة,flirtation,,,
طاف,floating,,,* فوق الماء
طوفان,flood,,,
فيضان,flood,,,
أرضية,floor,,,
طابق,floor,طوابق,floors,
زهرة,flower,زهور، أزهار,flowers,
أنفلونزا,flu,,,
ذبابة,fly,ذباب,flies,
مُهر,foal,أمهار,foals,
مناط,focus,,,تظل * الأمل الفعلى لتحقيق استقرار الدولة
مجلّد,folder,,,
موّال,folk song,,,ألم تشبع من هذا الموال؟
أخرق,foolish,,,
مليا,for a while,,,صمت * ثم قال،
بدورهم,for their part,,,
السُخرة,forced labor,,,
زند,forearm,زنود,forearms,
ساعد,forearm,سواعد,forearms,
جبهة,forehead,جبهات,foreheads,
جبين,forehead,جُبُن,foreheads,
غُرلة,foreskin,,,
نسيان,forgetting,,,ذلك لا يعني نسيان الماضي
غُفران,forgiveness,,,
شوكة,fork,شُوَك,forks,
نموذج,form,نماذج,forms,* تبليغ الوفاة
الرسمية,formalism,,,
حصن,fortress,حصون,fortresses,
محفل,forum,محافل,forums,
منتدى,forum,,,
أحفور,fossil,أحافير,fossils,
أساس,foundation,أُسُس,foundations,
ينبوع,fountain,ينابيع,fountains,
ثعلب,fox,ثعالب,foxes,
كسر,fraction,كسور,fractions,
التشرذم,fragmentation,,,
عَبَق,fragrance,,,
عَبِق,fragrant,,,
عَطِر,fragrant,,,
الأخوّة,fraternity,,,
الاحتيال,fraud,,,
نَمَش,freckle,,,
نولون,freight,,,(نولون) شحن بضائع الشركات
طازج,fresh,,,
بلح,fresh dates,,,
مقلي,fried,,,الأكل المقلي
ضفدع,frog,ضفادع,frogs,
صقيع,frost,,,
مقتصد,frugal,,,
إحباط,frustration,,,
قلاّية,frying pan,,,
مقلاة,frying pan,مقالٍ,frying pans,
محروقات,fuel,,,
آبِق,fugitive,,,
شبعان,full,هم شباعى,they are full,
بدر,full moon,,,
الأدخنة,fumes,,,
التبخير,fumigation,,,
مرح,fun,,,
أصولي,fundamentalist,,,
جنازة,funeral,جنازات,funerals,
مأتم,funeral,,,انقلب الزفة مأتما.
مضحك,funny,,,
فرو,fur,فِراء,furs,
فروة,fur,فراوي,furs,
حَنِق,furious,,,
أثاث,furniture,,,
مفروشات,furniture,,,
عائدة,gain,عوائد,gains,
مكسب,gain,,,
مجرّة,galaxy,,,
الجليل,Galilee,,,
مِشنقة,gallows,مشانق,gallows (pl),
مقامر,gambler,,,
قِمار,gambling,,,
عصابة,gang,عصابات,gangs,
فجوة,gap,فجوات,gaps,
البستنة,gardening,,,
بوّابة,gate,,,
شاش,gauze,,,
غزال,gazelle,غِزلة,gazelles,
الجوزاء,Gemini,,,
كريم,generous,كرام,generous people,
تناسلي,genital,,,
عبقري,genius,عباقرة,geniuses,
اللين,gentleness,,,
بلطفٍ,gently,,,
لفتة,gesture,لفتات,gestures,في لفتة انسجام نادرة
شَبَح,ghost,أشباح,ghosts,
عملاق,giant,عمالقة,giants,
خَيشوم,gill,خياشيم,gills,
زنجبيل,ginger,,,
زرافة,giraffe,زرافات,giraffes,
صبية,girl,صبايا,girls,
جليدية,glacier,جليديات,glaciers,
غُدة,gland,غُدَد,glands,
الزجاج,glass,,,
بريق,glitter,,,
رحالة,globetrotter,,,
دُجى,gloom,,,الظلام وستر الـ* المطبق
قاتم,gloomy,,,
ضياء,glow,,,
صمغ,glue,,,
ملول,glum,,,إنسان عاطل و* ومشاكس
فجعان,gluttonous,,,
الشراهة,gluttony,,,
ماعز,goat,مواعز,goats,
إله,god,آلهة,gods,
عرّاب,godfather,,,
عرابة,godmother,,,
هُدى,good guidance,,,
محاسن,good qualities,,,
حليم,good-natured,حلماء,good-natured people,
إوزّة,goose,إوز,geese,
النقرس,gout,,,مفعوله قويٌّ جدّاً في علاج النقرس
الحوكمة,governance,,,
حاكم,governor,حكّام,governors,
برشاقة,gracefully,,,
بالتدريج,gradually,,,غيّر أفكاره *.
بالتدريج,gradually,,,
غَلة,grain,غِلال,grain,محل لبيع الـ*.
لارِنج,grapefruit,,,
عُشب,grass,,,
مِبشرة,grater,,,
الامتنان,gratitude,,,
جَدَث,grave,,,
الجاذبية,gravity,,,
ممتاز,great,,,
الجشع,greed,,,
الطمع,greed,,,
طماع,greedy,,,
رمادي,grey,,,
مشوي,grilled,,,
العانة,groin,,,
أخدود,groove,grooves,أخاديد,في الأرض
رهط,group,,,أنتَ تتظاهر أمام رَهْطكَ وأصهارِكَ أنك على ما يُرام
جماعة,"group, association",جماعات,"groups, associations",
جمعية,"group, association",جمعيات,"groups, associations",
نموّ,growth,,,
حفيظة,grudge,,,أثار تقارب العلاقات بين القاهرة وموسكو * والشنطن
كفالة,guarantee,,,
حارس,guard,حراس,guards,
حَدس,guess,,,قطع علي حدسي
إرشادات,guidelines,,,
مِقصلة,guillotine,,,
مذنب,guilty,,,
خليج,gulf,خُلجان,gulfs,
عِلك,gum,,,
لِثّة,gums,,,
مسلّح,gunman,,,
جهبذ,guru,gurus,جهابذة,
الجمباز,gymnastics,,,
عاهة,hadicap,,,
بَرَد,hail,,,
الاستراحة,half-time,,,
هلوَسة,hallucination,,,
ممرّ,hallway,ممرّات,hallways,
مطرقة,hammer,مطارق,hammers,
يد,hand,إيد,hands,
مكبّل,handcuffed,,,
إعاقة,handicap,,,
معوق,handicapped,,,
مقبض,handle,,,
شَنق,hanging,,,
متشدد,hard-liner,,,
قلما,hardly ever,,,
شَظَف,hardship,,,شظف العيش
مشقّة,hardship,,,
حصاد,harvest,,,
قبّعة,hat,قبّعات,hats,
رأس,head,رؤوس,heads,
صُداع,headache,,,
معقل,headquarters,معاقل,headquarters (pl),
مقرّ,headquarters,مقارّ,headquarters (pl),
صحة,health,,,
سليم,healthy,سلماء,healthy (pl),
السمع,hearing,,,
حُموضة,heartburn,,,
كُبّة,hearts,,,
الخليل,Hebron,,,
قُنفُذ,hedgehog,قنافذ,hedgehogs,
عَقِب,heel,أعقاب,heels,
ارتفاع,height,,,
مروحية,helicopter,مروحيات,helicopters,
خوذة,helmet,خوذات,helmets,
النجدة,help,,,
الناعور,hemophelia,,,
بواسير,hemorrhoids,,,
القنب,hemp,,,
حِناء,henna,,,
عُشب,herb,أعشاب,herbs,
البدعة,heresy,,,
خنثى,hermaphrodite,خناثي,hermaphrodites,
ناسك,hermit,نُساك,hermits,هذا الراهب قضى خمسة سنوات في الجبال يحيا حياة النساك.
صَومعة,hermitage,,,
بَلَشون,heron,,,
متحفظ,hesitant,,,
متردد,hesitant,,,
الإسبات,hibernation,,,
فواق,hiccups,,,
مُخبّأ,hidden,,,
مخبأ,hiding place,مخابئ,hiding places,
الهيروغليفية,hieroglyphics,,,
نجد,highland,,,
هضبة,highlands,هضاب,highlands (pl),
حرابة,highway robbery,,,
تلّ,hill,تلال,hills,
ورك,hip,أوراك,hips,
سعادة,his excellency,,,
سيادة,his excellency,,,
فخامة,his excellency,,,
مناوبته,his watch,,,
مؤرخ,historian,,,
بُحة,hoarseness,,,
هواية,hobby,هوايات,hobbies,
ثُقب,hole,ثقوب,holes,
حفرة,hole,حفر,holes,
مِحرقة,holocaust,,,
التجانس,homogeneity,,,
تجانس,Homogeneity,,,
نزيه,honest,نزهاء,honest people,
الإجلال,honor,,,
حافر,hoof,حوافر,hooves,
هدهد,hoopoe,هداهد,hoopoes,
أفق,horizon,آفاق,horizons,
أفقي,horizontal,,,
هرمون,hormone,,,
بَشِع,horrific,,,
رعب,horror,,,
رهينة,hostage,رهائن,hostages,
دار,house,دُور,houses,
البشر,humans,,,
متواضع,humble,,,
رَطب,humid,,,
طنّان,hummingbird,,,
المَجَر,Hungary,,,
جائع,hungry,هم جياع,they are hungary,
القنص,hunting,,,
إعصار,hurricane,أعاصير,hurricanes,
مؤْذٍ,hurtful,,,
عريس,husband-to-be,عرسان,husbands-to-be,
كوخ,hut,أكواخ,huts,أكواخ من الطين
ضبع,hyena,ضِباع,hyenas,
ترنيمة,hymn,ترانيم,hymns,
تسبيحة,hymn,,,
منافق,hypocrite,منافقون,hypocrites,
افتراضي,hypothetical,,,
شدّني,I noticed,,,
ألهمني,I was inspired by,,,
أمازحك,I'm kidding,,,
إيقونة,icon,,,
الميثالية,idealism,,,
الاستعراف,identification,,,
عقائدي,ideological,,,
صنم,idol,أصنام,idols,
وثن,idol,,,
شِرك,idolatry,,,
جاهل,ignorant,جهلاء,ignorant people,
مخيّلة,imagination,,,
إمام,imam,أئمّة,imams,
عمانوئيل,Immanuel,,,
مرتقب,imminent,,,
مناعة,immunity,,,
تحصين,immunization,,,
مَصل,immunization,,,
الحياد,impartiality,,,
مأزق,impasse,,,
متلهفا,impatiently,,,هرع إليه *.
مستورد,imported,,,
استيراد,importing,,,
واردات,imports,,,
عنين,impotent,,,
انطباع,impression,,,
الارتجال,improvisation,,,
شوائب,impurities,,,خالي من أي شوائب
النجاسة,impurity,,,
نجاسة,impurity,,,
مقابل,in exchange for,,,
بصدد,in front of,,,
بحذافيره,in its entirety,,,
باعتقادي,in my mind,,,
تحديدا,in particular,,,لماذا اخترت هذا
برغمته,in spite of himself,,,البلاد
تباعا,in succession,,,
إبان,in the period of,,,
بصدد,in the process of,,,
نسيب,in-law,أنسباء,in-laws,
عَجز,inability,,,
سهوا,inadvertently,,,
تأنُس,incarnation,,,
النِد,incense,,,رائحة الصندل المحروق و*
بَخور,incense,,,
بوصة,inch,,,٢٠ بوصة للحجر
بَلى,indeed,,,
دؤوب,indefatigable,,,
فهرس,index,فهارس,indexes,
سبّابة,index finger,,,
مؤشر,indicator,,,
تخمة,indigestion,,,
امتعاض,indignation,,,سأله ب* شديد: هل رجع عصر المعجزات؟
الصناعة,industry,,,
مغمور,infamous,,,
عَدوى,infection,,,
أدنى,inferior,,,نحن الأعلى وأنتم الأدنى
سعير,inferno,,,
عاقر,infertile,,,
التِهاب,inflammation,,,
التضخّم,inflation,,,
مقدار,ingredient,مقادير,ingredients,
مقادير,ingredients,,,
إصابة,injury,,,
جُرح,injury,جراح,injuries,
دواة,inkwell,,,
محبرة,inkwell,,,
شرم,inlet,شروم,inlets,
بالفِطرة,innately,,,هو جذاب *
برئ,innocent,أبرياء,innocent people,
المدخلات,inputs,,,
مُخبّل,insane,,,
نقوش,inscriptions,,,
النُبه,insight,,,
الإلحاح,insisting,,,يستحيل أن تكسر بـ* قشرة طفل خجول
الغطرسة,insolence,,,
وقح,insolent,,,
أَرَق,insomnia,,,
أرق,insomniac,,,
معهد,institute,معاهد,institutes,
ممأسس,institutionalized,,,تمييز ممأسس
سِباب,insult,,,ملأ سبابه الأسماع
عصيان,insurrection,,,
النزاهة,integrity,,,
الذكاء,intelligence,,,
النباهة,intelligence,,,
مخابرات,intelligence,,,
نبيه,intelligent,نبهاء,intelligent people,
كثيف,intense,كثاف,intense people,
نية,intention,نوايا,intentions,
تعطيل,interruption,,,
معوي,intestinal,,,
المهابة,intimidation,,,
تنغيم,intonation,,,
ثَمِل,intoxicated,,,
انتشاء,intoxication,,,
جَرد,inventory,,,
تحقيق,investigation,,,
تحقيق,investigation,,,
الاكتتاب,IPO,,,طرح الشركة ل*
زَنبَق,iris,,,
قُزَحية,iris,,,
مكواة,iron,مكاوٍ,irons,
خروجات,irregularities,,,
الري,irrigation,,,
تهيج,irritation,,,
شُخُط,irritation,,,
يسمّى,is called,,,
قضيّة,issue,قضايا,issues,
مسألة,issue,,,
حِكّة,itch,,,
العاج,ivory,,,
لبلاب,ivy,,,
سترة,jacket,سُتَر,jackets,
يافة,Jaffa,,,
مربّى,jam,,,
مكتظّ,jam-packed,,,
بلاص,jar,بلاليص,jars,بلاليص من الليمون والزيتون المخلل
جرّة,jar,جِرار,jars,
وعاء,jar,أوعية,jars,
شِدق,jaw,أشداق,jaws,
فك,jaw,فكوك,jaws,
أريحا,Jericho,,,
قديد,jerkey,,,
جوهرة,jewel,جواهر,jewels,
صائغ,jeweler,صاغة,jewelers,أسعار الذهب ب(الصاغة) وأسواق الذهب
مصوغات,jewelry,,,
وظيفة,job,وظائف,jobs,
مَفصِل,joint,مفاصل,joints,
مداعِب,joking,,,قال مداعبا
قاضٍ,judge,قضاة,judges,
إبريق,jug,أباريق,jugs,
حاوٍ,juggler,حواة,jugglers,يلعب بالنبوت لعب الحواة
عصير,juice,عصائر,juices,
ماوى,juicy,,,
تموز,July,,,
منعطف,juncture,,,
حُزَيران,June,,,
دغل,jungle,أدغال,jungles,
العرعار,juniper,,,
المشترى,jupiter,,,
إشراف,jurisdiction,,,
اختصاص,jurisdiction,,,
محلّف,juror,,,
العدالة,justice,,,
العدل,justice,,,
علة,justification,علل,justifications,الإكتشافات العلمية الحديثة في الغرب والصين تؤيد علل الشريعة
جربوع,kangaroo mouse,,,الجربوع الجوعان للجزر
غلاية,kettle,,,
خفرع,Khafre,,,
الخرطوم,Khartoum,,,
رَكلة,kick,,,
عيِّل,kid,عيال,kids,
الاختطاف,kidnapping,,,
كُليْة,kidney,كُلى,kidnies,
قاتل,killer,قتلة,killers,
سَمح,kind,,,
شفوق,kind,,,
عطوف,kind,,,
الرِفق,kindness,,,
ملك,king,ملوك,kings,
قُبلة,kiss,قبلات,kisses,
مطبخ,kitchen,مطابخ,kitchens,
رُكبة,knee,رُكَب,knees,
سكّين,knife,سكاكين,knives,
حصان,knight,,,
عُقلة,knuckle,,,
الكويت,Kuwait,,,
مختبر,labratory,,,
تخريمة,lace,,,
تمزّق,laceration,,,
الضبابية,lack of clarity,,,في سياسة امريكا تجاه سوريا
مِعراج,ladder,,,
مسترخي,laid-back,,,
حَمَل,lamb,حملان,lambs,
خروف,lamb,خراف,lambs,
مصباح,lamp,مصابيح,lamps,
يَرَقان,larvae,,,
حنجرة,larynx,,,
البارحة,last night,,,
لاحقاً,later on,,,
خُزامَى,lavender,,,
محامٍ,lawyer,محاميون,lawyers,
الكسل,laziness,,,
كسول,lazy,,,
رصاص,lead,,,
الريادة,leadership,,,
القيادة,leadership,,,
تسريبات,leaks,,,
عجيف,lean,,,امراءة عجفاء ضامرة
لبنان,Lebanon,,,masculine
علقة,leech,,,
رِجل,leg,أرجُل,legs,
ساق,leg,سيقان,legs,
إرث,legacy,,,تكريم * زعيم أمريكي
تركة,legacy,تركات,legacies,
إباحة,legalization,,,
مُشرّع,legislator,,,
طول,length,,,
هوادة,leniency,,,لا هوادة مع القتلة
عَدَسة,lens,عدسات,lenses,
الأسد,Leo,,,
جُذّام,leprosy,,,
دعونا,let's,,,
فتاك,lethal,,,
مميت,lethal,,,
سُبات,lethargy,,,
وَهن,lethargy,,,
مسطح,level,,,
داعر,lewd,دُعار,lewd people,
الميزان,Libra,,,
سُوس,licorice,,,
ملازم,lieutenant,,,
فريق,lieutenant general,,,
حياة,life,حيوات,lives,
فاتح,light,,,
قدّاحة,lighter,,,
فنار,lighthouse,,,
برق,lightning,بروق,lightning bolts,
هامد,limp,,,
رابط,link,روابط,links,
سبع,lion,سِباع,lions,
شفة,lip,شِفاه,lips,
سائل,liquid,,,
العرقسوس,Liquorice,,,
مُصغٍ,listening,,,إني *.
إفشين,litany,,,
بالحرف,literally,,,
التقاضى,litigation,,,البلاغ قيد مرحلة *.
ضئيل,little,,,
كَبد,liver,كبود,livers,
ماشية,livestock,,,
سِحلية,lizard,سحالٍ,lizards,
قرض,loan,قروض,loans,
بغيض,loathsome,,,
كركند,lobster,,,
جرّاد,locusts,,,
شموخ,loftiness,,,
شوق,longing,,,
ثغرة,loophole,ثغرات,loopholes,
واسع,loose,,,
نهب,"looting, robbery",,,
رب,lord,أرباب,lords,
يانصيب,lottery,,,
لوتس,lotus,,,
بصَخَب,loudly,,,أغلق الباب بصخب
قملة,louse,قَمل,lice,
محبّ,loving,,,
حضيض,lowland,,,
موالون,loyalists,,,
ولاء,loyalty,,,
تشحيم,lubrication,,,العمل تشحيم ضروري للعقل والقلب والمفاصل
اليُمن,luck,,,عسى أن يصحب سفرك البركة وال*
غداء,lunch,,,
رئة,lung,رئات,lungs,
شهوة,lust,,,
ترف,luxury,,,حياة ترف ورخاءإن الحرية ليست ترفا
رشاش,machine gun,رشاشات,machine guns,
مجلّة,magazine,,,
عَقعَق,magpie,,,
محور,main point,محاور,main points,
تخصّص,major,,,
رائد,major,,,
ماكياج,makeup,,,
ذكر,male,ذكور,males,
الإدارة,management,,,
المنامة,Manama,,,
انتداب,mandate,,,
إلزامي,mandatory,,,
تجليات,manifestations,,,لعل من أبرز (تجلياته)
التحايل,manipulation,,,في الانتخابات
التلاعب,manipulation,,,في الانتخابات
مخطوطات,manuscripts,,,
آذار,March,,,
مسيرات,marches,,,
حِجر,mare,حُجورة، حُجور، أحجار,mares,
ماروني,Maronite,الموارنة,the Maronies,
عنابي,maroon,,,قطر المنتخب ال*
النكاح,marriage,,,
زواج,marriage,,,
المريخ,Mars,,,
أهوار,marshlands,,,
خارق,marvellous,,,
خلّاب,marvelous,,,
قناع,mask,أقنعة,masks,
مجزرة,massacre,,,
مذبحة,massacre,,,
تدليك,massage,,,
بُرش,mat,,,
ثقاب,matches,,,
مادة,material,مواد,materials,
مسألة,math problem,مسائل,math problems,
مرتبة,mattress,مراتب,mattresses,
ضريح,mausoleum,أضرحة,mausoleums,
أضرحة,mausoleums,,,
أيار,May,,,
عمدة,mayor,عُمَد,mayors,
مرج,meadow,مروج,meadows,
دَناية,meanness,,,
حَصبة,measles,,,
إجراء,measure,إجراءات,measures,
آلية,mechanism,,,
ميدالية,medal,,,
وساطة,mediation,,,
وسيط,mediator,وسطاء,mediators,
إسعاف,medical assistance,,,
فَحَص,medical examination,فحوص,medical examinations,
دواء,medication,أدوية,medications,
الطبّ,medicine,,,
عقّار,medicine,عقاقير,medicines,
لحن,melody,ألحان,melodies,
مذكرة,memorandum,,,
تحفيض,memorizing,,,القرآن
منقرع,Menkaure,,,
الخيض,menstruation,,,
الطمث,menstruation,,,
مرتزق,mercenary,مرتزقة,mercenaries,
الزئبق,mercury,,,الآثار الجانبية للصابون والكريمات المحتوية على الزئبق غير العضوي
عطارد,mercury,,,
هرجلة,mess,,,
الأيض,metabolism,,,اضافته إلى الطعام تساعد في تسريع عملية الايض
مَعدِن,metal,معادن,metals,
مجاز,metaphor,,,
نَيزك,meteor,,,
الوزن,meter,,,
نهج,method,,,التخدام نهجا جديدا ل
جرثوم,microbe,جراثيم,bacteria,
كهل,middle-aged,كهول,middle-aged people,
داية,midwife,,,
الهجرة,migration,,,
محراب,mihrab,محاريب,mihrabs,
مهاجم,militant,مهاجمون,militants,
طاحونة,mill,طواحين,mills,
طحّان,miller,,,
مليونير,millionaire,مليونيرات,millionaires,
مأذنة,minaret,مآذن,minarets,
ناقص,minus,,,
سَراب,mirage,,,كان (السراب) أحيانا يخدعنا
مرآة,mirror,مرايا,mirrors,
الإسقاط,miscarriage,,,
متفرِّق,miscellaneous,,,
متنوع,miscellaneous,,,
شقاوة,mischief,,,
جُنحة,misdemeanor,جُنَح,misdemeanors,
تعيس,miserable,تعساء,miserable people,
تحريف,mispronunciation,,,
مأمورية,mission,,,
مهمة,mission,مهام,missions,
شبورة,mist,,,
سوس,mites,,,
خندق,moat,,,
تعبئة,mobilization,,,الجماهير
حشد,mobilization,,,الإرادة السياسية العالمية
طراز,model,طرازات,models,
معتدل,moderate,,,
الاعتدال,moderation,,,الاعتدال سيد الأخلاق
حديث,modern,حدثاء,modern people,
محتشم,modest,,,
خال,mole,خيلان,moles,
شامة,mole,,,
زَخَم,momentum,,,
عاهل,monarch,عواهل,monarchs,
الأديرة,monasteries,,,
تكية,monastery,,,
دير,monastery,أديار,monasteries,
الرهبنة,monasticism,,,
نِمس,mongoose,,,
راهب,monk,رُهبان,monks,
احتكار,monopoly,,,
استئثار,monopoly,,,
التوحيدية,monotheism,,,
مضجر,monotonous,,,خالية مضجرة لا تحتمل
الرتابة,monotony,,,
موسمية,monsoon,,,رياح موسميةأمطار موسمية
مزاج,"mood, temperament",,,
ممسحة,mop,مماسح,mops,
خُلق,moral principle,أخلاق,morals,
معنويات,"morale, spirit",,,
بالأحرى,more likely,,,أو *
ضُحى,morning,,,
هاون,mortar,هواوين,mortars,
رهن,mortgage,رهون,mortgages,
بعوضة,mosquito,بعوض,mosquitos,
الطُحلُب,moss,,,
حزاز,moss,,,
عُثة,moth,عثث,moths,
حماة,mother-in-law,حموات,mothers-in-law,
دافعية,motivation,,,تنويع الحوافز ورفع الدافعية
قالب,mould,قوالب,moulds,
ربوة,mound,,,ربوة من التراب
حِداد,mourning,,,
فأر,mouse,فئران,mice,
فأرة,mouse,,,
فم,mouth,أفواه,mouths,
طمي,mud,,,
طين,mud,أطيان,clays,
وحل,mud,,,جوهرة غارقة في ال*
محرم,Muharram,,,محرم
الضرب,multiplication,,,
مومياء,mummy,مومياوات,mummies,
سفّاح,murderer,,,
مسقط,Muscat,,,
عضلة,muscle,عضلات,muscles,
فُطر,mushroom,,,
الطَرَب,music,,,تواصل الرقص والطرب حتى  فجر اليوم التالي
شارب,mustache,شوارب,mustaches,
خردل,mustard,,,
متبادل,mutual,,,
تجاذُب,mutual attraction,,,
كَمامة,muzzle,,,
غامض,mysterious,,,
لُغز,mystery,,,
خُرافي,mythical,,,
مسمار,nail,مسامير,nails,
ساذج,naive,سذّاج,naive people,
مكيفات,narcotics,,,
ناشئ,nascent,,,
منتخب,national team,,,
قومية,nationalism,,,
طبيعي,natural,,,
السجية,natural disposition,,,حين يكون على (سجيته)
الطبيعة,nature,,,
غَثَيان,nausea,,,
سُرّة,navel,سُرَر,navels,
الإبحار,navigation,,,
كحلي,navy blue,,,
حسير,near-sighted,,,
وجوب,necessity,وجوبات,necessities,
رَقَبة,neck,رِقاب,necks,
قفا,neck,أقفية,necks,
عِقد,necklace,عقود,necklaces,
رحيق,nectar,,,
إبرة,needle,إبر,needles,
